Strategy,Pair,trades,wins,losses,be,wr,pnl,avg_trade,avg_win,avg_loss,profit_factor,max_dd,best_trade,worst_trade
Baseline (Confirm TP),XAUUSD,36,31,5,0,86.1,37.7,1.05,1.38,-1.0,8.54,2.0,3.78,-1.0
Baseline (Confirm TP),EURUSD,26,22,4,0,84.6,28.84,1.11,1.49,-1.0,8.21,1.41,6.6,-1.0
Baseline (Confirm TP),USDJPY,26,22,4,0,84.6,28.68,1.1,1.49,-1.0,8.17,1.0,3.1,-1.0
Baseline (Confirm TP),BTCUSD,29,24,5,0,82.8,23.05,0.79,1.17,-1.0,5.61,2.62,4.24,-1.0
Fixed R:R 2:1,XAUUSD,36,25,11,0,69.4,36.15,1.0,1.86,-0.94,4.48,2.0,2.0,-1.0
Fixed R:R 2:1,EURUSD,26,19,7,0,73.1,27.65,1.06,1.8,-0.94,5.22,2.0,2.0,-1.0
Fixed R:R 2:1,USDJPY,26,18,8,0,69.2,28.84,1.11,2.0,-0.89,5.03,2.16,2.0,-1.0
Fixed R:R 2:1,BTCUSD,29,23,6,0,79.3,31.72,1.09,1.64,-1.0,6.29,2.0,2.09,-1.0
Fixed R:R 3:1,XAUUSD,36,23,13,0,63.9,45.93,1.28,2.54,-0.95,4.71,2.0,3.0,-1.0
Fixed R:R 3:1,EURUSD,26,16,10,0,61.5,30.43,1.17,2.5,-0.95,4.19,2.73,3.0,-1.0
Fixed R:R 3:1,USDJPY,26,18,8,0,69.2,44.61,1.72,2.88,-0.89,7.23,2.16,3.0,-1.0
Fixed R:R 3:1,BTCUSD,28,21,7,0,75.0,35.72,1.28,2.0,-0.9,6.67,2.0,3.0,-1.0
Partial TP (50%+BE),XAUUSD,36,31,5,0,86.1,48.06,1.34,1.71,-1.0,10.61,2.0,6.3,-1.0
Partial TP (50%+BE),EURUSD,26,22,4,0,84.6,22.3,0.86,1.2,-1.0,6.58,1.7,7.47,-1.0
Partial TP (50%+BE),USDJPY,26,22,4,0,84.6,31.08,1.2,1.59,-1.0,8.77,1.0,4.98,-1.0
Partial TP (50%+BE),BTCUSD,29,24,5,0,82.8,40.16,1.38,1.88,-1.0,9.03,2.0,8.53,-1.0
